#####################################################################
# Alchemist log file - simulation started at: 2024-05-16T14:21+0000 #
#####################################################################
#
# seed = 9.0, areas = 3
#
# The columns have the following meaning: 
# time TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.1 1.91 2.43 2.34 0.00548 3.315332531929016 5.041580438613892 4.055640452674457 0.3454863020072523 0.43902439024390244 0.7697841726618705 0.6111086740363807 0.007174322310486117
2.1 1.49 1.99 1.88 0.00670 2.5854088068008423 4.352795481681824 3.3884551216449057 0.3751162612292935 0.6016260162601627 0.7560975609756098 0.6736133741090751 0.001759389857218485
3.1 1.28 1.78 1.63 0.0129 2.228638768196106 4.052761077880859 3.0223532297781537 0.366817607210692 0.5934959349593496 0.7723577235772358 0.6989290101020229 0.0017370728519932569
4.1 1.18 1.62 1.45 0.0169 1.9816726446151733 3.85735821723938 2.7691742362720624 0.34521255799335276 0.5853658536585366 0.7967479674796748 0.7142314023345784 0.001997880714220743
5.1 1.14 1.50 1.32 0.0174 1.7943241000175476 3.7117631435394287 2.5790779569319318 0.31582551737449616 0.6016260162601627 0.8048780487804879 0.724356403379039 0.0019910043162368585
6.1 1.04 1.41 1.22 0.0173 1.6493899822235107 3.5842076539993286 2.4317964666656087 0.29142473190149937 0.6178861788617886 0.8048780487804879 0.7321470349852522 0.0017797318290872482
7.1 0.967 1.33 1.14 0.0166 1.5355360507965088 3.4875060319900513 2.313866628067834 0.27375456332058146 0.6422764227642277 0.8130081300813008 0.7399376665914655 0.0017922961513296577
8.1 0.908 1.26 1.08 0.0154 1.4421833157539368 3.400084376335144 2.217583312519959 0.25800156537024477 0.6666666666666666 0.8057553956834532 0.7435452334996114 0.0014682456414260078
9.1 0.858 1.21 1.02 0.0140 1.3700264692306519 3.324989378452301 2.1380281671881676 0.24535882760165428 0.6829268292682927 0.8201438848920863 0.7485377551617243 0.001487573558996832
10.1 0.818 1.16 0.978 0.0128 1.3089670538902283 3.255720317363739 2.070256790944508 0.23340297077441677 0.6829268292682927 0.8345323741007195 0.7535584772600038 0.0014106868227378225
11.1 0.785 1.12 0.941 0.0118 1.257614552974701 3.197270095348358 2.0133407499108995 0.22401852212025705 0.6829268292682927 0.841726618705036 0.7579869901987817 0.001331038811160723
12.1 0.756 1.09 0.909 0.0107 1.2157747745513916 3.140073001384735 1.9632640507604395 0.21499383200266886 0.6829268292682927 0.8489208633093526 0.7604446059876837 0.0014022189417521255
