#####################################################################
# Alchemist log file - simulation started at: 2024-04-23T16:38+0000 #
#####################################################################
#
# seed = 1.0, repetition = 1.0, areas = 2, dataShuffle = true, lossThreshold = 40.0
#
# The columns have the following meaning: 
# time AreaCount AreaDiscrepancy0 AreaDiscrepancy1 AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 1.0 Infinity NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 1.0 Infinity Infinity 0.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.1 7.0 0.07542489965756734 0.06107084328929583 0.9285714285714286 0.31871947886529073 0.6041459785837705 0.24650812706034797 2.10 2.30 2.23 0.00278 3.8687655925750732 4.425596475601196 4.225365857283275 0.025076373691846645 0.15306122448979592 0.43137254901960786 0.2681906095771642 0.008757997420899557
2.1 7.0 0.1090029925107956 0.0969494270781676 0.9285714285714286 0.29285516680387536 0.5160754805519467 0.2871100821280893 1.97 2.12 2.04 0.00230 3.4511367082595825 3.9098145961761475 3.6245131889979043 0.034431892940828546 0.15306122448979592 0.39215686274509803 0.2788782179538482 0.00661313551091311
3.1 9.0 0.13365980486075082 0.13239083190759024 0.9444444444444444 0.2059922380737527 0.34922361643716626 0.45535621656069836 1.76 2.01 1.87 0.00828 2.818227529525757 3.7042248249053955 3.209142436583837 0.10977071376993686 0.15306122448979592 0.6764705882352942 0.4308723489395758 0.024192837672010855
4.1 7.0 0.12219145397345225 0.15682321786880493 0.9285714285714286 0.25895433062714673 0.4377339476225327 0.4814640141770994 1.56 2.54 1.85 0.0697 2.3600560426712036 4.607411861419678 3.1264717678229013 0.39198284562523084 0.06862745098039216 0.7450980392156863 0.4722555688942244 0.036648391637446084
5.1 5.0 0.13769671320915222 0.2100164145231247 1.0 0.3358067263194493 0.558868127822876 0.6048699479791917 1.28 2.21 1.67 0.0701 1.9195764660835266 4.059749364852905 2.7706562926371894 0.45843267047015995 0.32653061224489793 0.8137254901960784 0.6056922769107643 0.029498212941548266
6.1 7.0 0.16697256018718085 0.20812421043713888 0.9285714285714286 0.2298352159885554 0.37984902041704477 0.6858195659216068 1.16 1.97 1.56 0.0598 1.5632161498069763 3.2424713373184204 2.485149418314298 0.3110313605925676 0.5588235294117647 0.8627450980392157 0.7041816726690676 0.010172401748359863
7.1 7.0 0.19548834363619486 0.12241460631291072 1.0 0.23596620107878746 0.38189624614861545 0.6403204138798376 1.26 2.14 1.64 0.0645 1.6714581847190857 3.5196425914764404 2.5777679781119027 0.3049363538593667 0.3163265306122449 0.7857142857142857 0.6516273175937042 0.026396035028899933
8.1 5.0 0.21049140145381293 0.14206504697601 1.0 0.2846931508041563 0.4281230301856995 0.7640136054421769 1.06 1.77 1.43 0.0475 1.3592767715454102 2.9774686098098755 2.1523078282674155 0.22409268368627036 0.5588235294117647 0.8235294117647058 0.7531345871682006 0.006776742734150908
9.1 4.0 0.22233353555202484 0.1584615707397461 1.0 0.3248249880038202 0.4594363098964095 0.8115846338535414 1.15 1.60 1.29 0.0251 1.435495376586914 2.528341293334961 1.8416904509067535 0.13423382621974317 0.7450980392156863 0.8725490196078431 0.8047218887555022 0.0019246521410412186
