#####################################################################
# Alchemist log file - simulation started at: 2024-05-15T07:30+0000 #
#####################################################################
#
# seed = 19.0, areas = 5, lossThreshold = 40.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 2.73 2.73 2.73 0.00 2.0396454334259033 2.0396454334259033 2.0396454334259033 0.0 0.265625 0.265625 0.265625 0.0
1.1 56.0 0.3119944309294455 0.0 2.6289431869613167 2.208506604056536 0.5525425269175269 1.27 2.76 2.62 0.0384 0.905190646648407 3.7897963523864746 2.1009340999381885 0.48196499756936245 0.265625 0.78125 0.546066935296846 0.023855910727030385
2.1 20.0 0.42308222831221814 4.0 1.349858536061823 1.236803461468859 0.7443106893106893 0.991 1.59 1.35 0.0210 0.7232588529586792 2.252268433570862 1.1772927386420116 0.19962585423001847 0.53125 0.921875 0.737955125231911 0.00833558650196152
3.1 6.0 0.6281884944953007 1.0 0.800539505003887 0.8974115187105692 0.7861849955599955 0.543 1.07 0.806 0.0190 0.41556915640830994 1.6769865155220032 0.8593182398804597 0.11882793241017514 0.625 0.953125 0.7807245767625232 0.005339563529442798
4.1 5.0 0.607898838332483 0.0 0.8584057302273977 0.9231336418363876 0.7869370213120213 0.404 1.38 0.851 0.0414 0.3720663785934448 2.0226041078567505 0.8722908081752913 0.17106252063805047 0.625 0.921875 0.7838481273191095 0.005012426011967341
5.1 5.0 0.7321867205826645 0.0 0.5945224168855573 0.7565507527928806 0.8055492424242423 0.346 0.919 0.597 0.0196 0.28238821029663086 1.4764673113822937 0.7227564736136369 0.10164957973613808 0.609375 0.953125 0.802531452922078 0.004914122368152157
6.1 5.0 0.9070369362913322 0.0 0.462206992536621 0.6762767096567774 0.8156212537462538 0.248 0.710 0.467 0.0136 0.2421920895576477 1.3251373171806335 0.6500758225364344 0.07790935851030507 0.65625 0.953125 0.8135037395640075 0.004174192521726764
7.1 5.0 0.5001730729150929 0.0 0.5843893662272216 0.707206366551228 0.8190297896547898 0.312 0.857 0.592 0.0190 0.25128036737442017 1.4159488081932068 0.6795016905026777 0.0829062642666563 0.609375 0.953125 0.8163374014378478 0.005361493099190495
8.1 5.0 0.6736524612928372 0.0 0.4534900114236063 0.6439620129505886 0.8240410284160283 0.241 0.653 0.461 0.0140 0.22317682206630707 1.3072980642318726 0.6211973053536244 0.06809263192575403 0.65625 0.953125 0.8218235447588126 0.00433599412957877
