#####################################################################
# Alchemist log file - simulation started at: 2024-05-06T10:19+0000 #
#####################################################################
#
# seed = 6.0, epochs = 2, areas = 9, lossThreshold = 40.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 1.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 2.58 2.58 2.58 0.00 1.4948890209197998 1.4948890209197998 1.4948890209197998 0.0 0.7674418604651163 0.7674418604651163 0.7674418604651163 0.0
1.1 21.0 0.1910120395966518 19.0 0.11459269969153685 0.0684696228010404 0.6963233088778148 0.988 2.61 2.45 0.0506 0.5379654765129089 1.756719708442688 1.4483316679086005 0.03749815317385026 0.28125 0.9375 0.721858129152824 0.03172630610201449
2.1 20.0 0.3233963126937549 28.0 0.04773290936596736 0.02992708957053366 0.8601272667497233 0.388 1.17 0.930 0.0181 0.20437131822109222 0.8547213673591614 0.5863622578659228 0.014406210649744147 0.75 0.9767441860465116 0.8600822778239202 0.003029588031896739
3.1 15.0 0.4778628216849433 24.0 0.030524324162992954 0.027798809344490995 0.8689867686415652 0.289 0.652 0.432 0.00846 0.1998327225446701 0.5951523184776306 0.3918993355972426 0.009782897470072285 0.796875 0.9767441860465116 0.871515521179402 0.0022717659153217917
4.1 11.0 0.5546448872781093 22.0 0.15526713400856915 0.07408274736320763 0.8215545284160455 0.192 3.56 1.46 1.48 0.12974070012569427 1.420074701309204 0.7446761187165976 0.19263446917623897 0.640625 0.9767441860465116 0.8450023359634551 0.006297279278547263
5.1 25.0 0.6704003792486072 9.0 0.024702859274415356 0.018372786362055058 0.8674111956357595 0.128 0.959 0.498 0.0695 0.09399094432592392 0.6405337452888489 0.40556195311780496 0.019250798642597107 0.78125 0.96875 0.8784779900332226 0.002263272574504997
6.1 19.0 0.7876156150926777 2.0 0.017313041668601484 0.018243718721034453 0.8791493632336657 0.0887 0.549 0.293 0.0141 0.08410603553056717 0.523249089717865 0.3282485182530113 0.009122341817661484 0.796875 0.9767441860465116 0.8848824231727574 0.002064899464059085
7.1 14.0 0.5977022323159524 0.0 0.028671844003032403 0.024557846108228837 0.8810086171096344 0.155 1.85 0.429 0.0884 0.13847731053829193 0.726888120174408 0.34870507780994686 0.010381562875088936 0.8125 0.9767441860465116 0.8885096553156147 0.002063524755121672
8.1 10.0 0.7295743810173905 0.0 0.026011564929417717 0.03145046325193511 0.8907370397286822 0.110 0.528 0.252 0.00564 0.13847731053829193 0.5024343132972717 0.30098128238958977 0.006260857664071679 0.828125 0.9767441860465116 0.896594684385382 0.0018704293146347983
9.1 10.0 0.8561596566880191 0.0 0.020549854094645492 0.029663044653005073 0.8923015584625323 0.0769 0.337 0.195 0.00348 0.08990276604890823 0.5098332166671753 0.28230415484202764 0.0067168439526920105 0.8125 0.96875 0.8978535091362126 0.0015203611220065436
10.1 10.0 0.4390589832155793 0.0 0.026328747295170884 0.029124408099386427 0.8985061369509044 0.0958 1.26 0.257 0.0226 0.10303353518247604 0.49343058466911316 0.27800143337143324 0.0068172702986054575 0.8125 0.9767441860465116 0.9030120950996677 0.0016141118816610897
11.1 9.0 0.5972966025640934 0.0 0.021826742188200174 0.031191073582904977 0.8997676213034739 0.0916 0.352 0.191 0.00354 0.0814705640077591 0.5041288137435913 0.2669689929378884 0.006800881249399055 0.8125 0.96875 0.9035701308139535 0.0013650727709273137
12.1 9.0 0.7344488696551618 0.0 0.01818047593797846 0.03119462403495616 0.898467781007752 0.0657 0.294 0.158 0.00309 0.07621486485004425 0.5166447162628174 0.26701573096215725 0.007485291535995331 0.828125 0.9767441860465116 0.9023177948504983 0.0014787443993396752
13.1 9.0 0.3946547581595771 0.0 0.022245196529775246 0.029011918653431255 0.9086736021389608 0.0999 0.295 0.196 0.00270 0.07156863808631897 0.4948594272136688 0.24726948009005617 0.007171611432936276 0.828125 1.0 0.9128945182724253 0.001499518293277166
14.1 9.0 0.5599816812685242 0.0 0.017938047125922774 0.029127723027649235 0.9077046098908986 0.0693 0.253 0.157 0.00249 0.0651138424873352 0.5096546411514282 0.24858826106148105 0.007506962062663016 0.828125 0.9767441860465116 0.9117719580564784 0.0013890696236047873
15.1 9.0 0.6947042945726418 0.0 0.015137349119804676 0.02973603152648248 0.9069857163364916 0.0493 0.228 0.132 0.00228 0.06835904717445374 0.5221176147460938 0.25376785759414944 0.008745569820132592 0.828125 0.9767441860465116 0.9112204111295681 0.001362660267560827
